event_id,event_name,order_id
8eca4353-7aaa-47ab-bc78-932c117b8d0b,OrderReleased,eb6d0c84-df1e-4507-8d47-d0992d55e3aa
39ec5bd4-72b4-4a49-9496-3e50bf598337,OrderReleased,c7937cfc-57d5-4b10-a61c-d1318a77abcb
096518b5-8099-4c56-88a3-b10b3f0bc3a5,OrderReleased,fa4858ec-ce1b-45e7-98fc-a81366ba4ff5
3da05cf2-efde-4adc-b98e-038764f38a9b,OrderReleased,ed62dd4c-ba16-478d-ab35-a924a9894439
d92d6bf5-ce63-4183-b449-fcd95fe9ac0d,OrderReleased,78efe8d2-1559-4c36-a8cc-22066e9bfc02
8d986905-445c-476e-8093-510d12675508,OrderReleased,c18982ab-6742-4186-a25b-61a991d439d4
291b1882-1964-4e72-8507-96d3e0a23cb4,OrderReleased,46d20cd3-1b2b-44f0-9272-bfe9e5828363
4c5b3fbf-241a-4dac-a7ae-6958d13f9e7a,OrderReleased,500c43f9-30ee-43ed-8de8-6fe07ff351e8
70c98980-49f1-40cb-a2f5-7c1176583907,OrderReleased,d64cf28c-5206-4ed5-968a-c010cf9f6854
23fa55c4-75eb-4423-a052-fd4ade58b89b,OrderReleased,005f222e-3de4-4d35-bdc4-347b4db429c8
e2ea5f43-46c3-430c-98ee-d5a08db63d47,OrderReleased,fca2c21c-0284-4879-ba5a-c69584523c72
add7200d-f31d-4076-a02a-0c7d76741e28,OrderReleased,d65c7e0e-f972-4dd3-9abc-a9c380b604d1
ef39fd91-f317-42a6-bf13-feaa555108fc,OrderReleased,b428b6cb-a0b6-4ada-b965-d969fef0b903
dd569db5-ab93-41e6-a441-5b4d06dab47d,OrderReleased,c595a3f9-bb03-4bdc-b3a8-dc0cde31f840
9be7e0d4-7c66-4f98-b696-230c4757eeeb,OrderReleased,39184c1a-27b6-4e32-9c01-2234286d2e37
1b54fa63-b1c9-4fd7-859e-71afb3d2d3f2,OrderReleased,c525a17f-8186-4c11-9fc8-4f0634e4b86f
a777912d-7cb2-4075-b45b-c60eb6a4992f,OrderReleased,0d869f2e-75b0-4347-b604-8437b5ac15d8
b347bd8d-9ad7-4f69-b42c-c266faf9b9dc,OrderReleased,56612376-1312-4519-a631-d7a11691ba40
8422f83c-15c7-4461-8d30-91490d07f7dc,OrderReleased,ba87d1a4-9630-40bd-99cd-63273f1b97e0
87b0cb78-2fa3-42c0-b9d5-f871b29e80c6,OrderReleased,db291689-c710-40ec-b75a-a9c6b9249ad4
5a2164b2-3d39-48d2-bc41-cd54fa6789ed,OrderReleased,471c09cb-8510-440d-b97a-00c3f9b31cd9
4b663326-2e79-4347-b1d6-f78cf4f856ff,OrderReleased,586e5d29-3acb-479e-9c66-b8040627bf61
f981b574-b575-4a2f-8ff5-90571d9d0073,OrderReleased,538cc26e-6af8-4c1b-a853-18c300a5a5a8
fb37c1ae-bb4f-43a1-ba3d-3ebfc90c09b7,OrderReleased,4462f2ea-de32-4e71-85d9-285374fbf4ec
0384ee3b-c890-4320-b10a-177e169d2061,OrderReleased,213bbe59-f306-4b13-ba44-59c090369a89
3ab395a9-c42c-4c5b-85f9-bc7669c526e7,OrderReleased,97f9335a-243d-417b-bbf7-2180d6ef0fe2
c8acf033-0b54-4136-9d29-57ebdf5192fb,OrderReleased,ab63994c-ee26-4762-b39c-3fff855c4386
a8bc2fbe-f344-4f77-abc5-3672306d62b7,OrderReleased,1d79bdfe-4539-4a05-8311-a3ad0fb8af80
16b0b3d1-27ee-4674-a419-3502a16bf5b7,OrderReleased,1966a8ea-98bc-4f32-90be-9f24c72930fd
485815ed-13b1-4faf-97b5-a11105e2f991,OrderReleased,1affc983-a34e-4807-b067-602ba9954917
38a08e35-5e9e-4060-8e67-e301d66f9348,OrderReleased,b2b5a427-3c92-4e2e-b733-442888258b57
b453cb30-5f4b-489b-bbc3-205a406c1654,OrderReleased,06dcaba3-baa1-4347-817b-436443d89239
01b5fbf3-fdc9-44d7-befb-524056155de0,OrderReleased,7cc7cebb-9956-4adc-b21b-1bbc39992ad4
65c2ddd9-7f2c-4727-ad41-1cf6ba85e563,OrderReleased,1cd89dae-19bd-461d-83c8-66a36ad84757
1d525ee6-1c50-48df-9d3c-4a7cf2ce9262,OrderReleased,a2930e0b-6dcd-442b-9a02-6f5f5c53912f
21254bee-185b-4a01-b9ac-922ad9d7c1a9,OrderReleased,5abd83ec-e36f-4e17-8e23-67a0027446b8
021c26ba-523d-481e-8816-e3aee466e58d,OrderReleased,e2817642-ce03-471e-8352-2f00432d8eb6
35740145-673e-4879-89c3-53c53f33cc75,OrderReleased,30096665-b509-4a99-b56c-39053de34028
a2a9804b-f643-4589-897f-159613a67176,OrderReleased,1461979b-758d-4f3d-8ef9-144c3d79ffb7
5afbcf35-f2a8-44c1-9278-c54bce3c49cd,OrderReleased,e000d5ee-5b12-4b6e-b32c-9418acc01ad1
ec16c8d2-9416-4ef9-af18-cf9ba5b40bce,OrderReleased,3c7c5f40-c121-446f-876a-bad5ec3d68dd
cc08275b-2839-49ea-ab9c-0fcba87254bd,OrderReleased,97f51dce-5b7f-403a-a86a-02a2cf4f3f06
8c020983-f1c7-47f5-bccc-fb17b60c79c2,OrderReleased,58547bc8-f039-48c3-bb74-13f9fe0dee44
7bd0c305-ef74-400f-9ceb-6c5f485b4813,OrderReleased,e3f7f156-b7c2-4c16-a27d-bedbff992073
d01cdcd2-6185-4b9a-8b9a-2e53ec0c64e2,OrderReleased,44796809-a044-4b71-b3e5-c047ba7862de
6557c297-5b63-470e-9670-8de3ab0e2c78,OrderReleased,da519c35-fc15-4380-b4f2-ddeaeab03438
33b04da6-731a-4687-b58a-f67a4cab7e8e,OrderReleased,989a2e6a-88f5-496c-9455-dc11ce176bc4
fef9d951-d0c3-4bed-ac25-a43df4bb555b,OrderReleased,2562e5ca-bc8f-4e27-a980-8b89e1872a22
